Node Name,Entrez Gene ID,source,source id,type,,
TGFB1,7040,GO,GO:0040007,biological process,,
TGFB1,7040,GO,GO:0042060,biological process,,
TGFB1,7040,GO,GO:0042110,biological process,,
TGFB1,7040,GO,GO:0042127,biological process,,
TGFB1,7040,GO,GO:0042130,biological process,,
TGFB1,7040,GO,GO:0042306,biological process,,
TGFB1,7040,GO,GO:0042307,biological process,,
TGFB1,7040,GO,GO:0042482,biological process,,
TGFB1,7040,GO,GO:0042493,biological process,,
TGFB1,7040,GO,GO:0042552,biological process,,
TGFB1,7040,GO,GO:0043011,biological process,,
TGFB1,7040,GO,GO:0043029,biological process,,
TGFB1,7040,GO,GO:0043065,biological process,,
TGFB1,7040,GO,GO:0043406,biological process,,
TGFB1,7040,GO,GO:0043491,biological process,,
TGFB1,7040,GO,GO:0043536,biological process,,
TGFB1,7040,GO,GO:0043537,biological process,,
TGFB1,7040,GO,GO:0043552,biological process,,
TGFB1,7040,GO,GO:0043932,biological process,,
TGFB1,7040,GO,GO:0045066,biological process,,
TGFB1,7040,GO,GO:0045216,biological process,,
TGFB1,7040,GO,GO:0045599,biological process,,
TGFB1,7040,GO,GO:0045662,biological process,,
TGFB1,7040,GO,GO:0045786,biological process,,
TGFB1,7040,GO,GO:0045892,biological process,,
TGFB1,7040,GO,GO:0045893,biological process,,
TGFB1,7040,GO,GO:0045930,biological process,,
TGFB1,7040,GO,GO:0045944,biological process,,
TGFB1,7040,GO,GO:0046732,biological process,,
TGFB1,7040,GO,GO:0048298,biological process,,
TGFB1,7040,GO,GO:0048535,biological process,,
TGFB1,7040,GO,GO:0048565,biological process,,
TGFB1,7040,GO,GO:0048642,biological process,,
TGFB1,7040,GO,GO:0048839,biological process,,
TGFB1,7040,GO,GO:0050679,biological process,,
TGFB1,7040,GO,GO:0050680,biological process,,
TGFB1,7040,GO,GO:0050714,biological process,,
TGFB1,7040,GO,GO:0050765,biological process,,
TGFB1,7040,GO,GO:0050777,biological process,,
TGFB1,7040,GO,GO:0050868,biological process,,
TGFB1,7040,GO,GO:0050921,biological process,,
TGFB1,7040,GO,GO:0051092,biological process,,
TGFB1,7040,GO,GO:0051098,biological process,,
TGFB1,7040,GO,GO:0051101,biological process,,
TGFB1,7040,GO,GO:0051152,biological process,,
TGFB1,7040,GO,GO:0051280,biological process,,
TGFB1,7040,GO,GO:0051781,biological process,,
TGFB1,7040,GO,GO:0051897,biological process,,
TGFB1,7040,GO,GO:0060325,biological process,,
TGFB1,7040,GO,GO:0060364,biological process,,
TGFB1,7040,GO,GO:0060389,biological process,,
TGFB1,7040,GO,GO:0060391,biological process,,
TGFB1,7040,GO,GO:0060744,biological process,,
TGFB1,7040,GO,GO:0060751,biological process,,
TGFB1,7040,GO,GO:0060762,biological process,,
TGFB1,7040,GO,GO:0061035,biological process,,
TGFB1,7040,GO,GO:0070306,biological process,,
TGFB1,7040,GO,GO:0070723,biological process,,
TGFB1,7040,GO,GO:0071158,biological process,,
TGFB1,7040,GO,GO:0071363,biological process,,
TGFB1,7040,GO,GO:0071407,biological process,,
TGFB1,7040,GO,GO:0071549,biological process,,
TGFB1,7040,GO,GO:0085029,biological process,,
TGFB1,7040,GO,GO:0090190,biological process,,
TGFB1,7040,GO,GO:0097191,biological process,,
TGFB1,7040,GO,GO:1900126,biological process,,
TGFB1,7040,GO,GO:1901666,biological process,,
TGFB1,7040,GO,GO:2000679,biological process,,
EIF5B,9669,Entrez,9669,,,
EIF5B,9669,OMIM,606086,,,
EIF5B,9669,GO,GO:0003743,molecular function,,
EIF5B,9669,GO,GO:0003924,molecular function,,
EIF5B,9669,GO,GO:0005515,molecular function,,
EIF5B,9669,GO,GO:0005525,molecular function,,
EIF5B,9669,GO,GO:0044822,molecular function,,
EIF5B,9669,GO,GO:0005829,localization,,
EIF5B,9669,GO,GO:0006412,biological process,,
EIF5B,9669,GO,GO:0006413,biological process,,
EIF5B,9669,GO,GO:0006446,biological process,,
EIF5B,9669,GO,GO:0010467,biological process,,
EIF5B,9669,GO,GO:0044267,biological process,,
RPL11,6135,Entrez,6135,,,
RPL11,6135,OMIM,604175,,,
RPL11,6135,GO,GO:0003723,molecular function,,
RPL11,6135,GO,GO:0003735,molecular function,,
RPL11,6135,GO,GO:0005515,molecular function,,
RPL11,6135,GO,GO:0019843,molecular function,,
RPL11,6135,GO,GO:0044822,molecular function,,
RPL11,6135,GO,GO:0005730,localization,,
RPL11,6135,GO,GO:0005829,localization,,
RPL11,6135,GO,GO:0005840,localization,,
RPL11,6135,GO,GO:0022625,localization,,
RPL11,6135,GO,GO:0070062,localization,,
RPL11,6135,GO,GO:0000184,biological process,,
RPL11,6135,GO,GO:0006364,biological process,,
RPL11,6135,GO,GO:0006412,biological process,,
RPL11,6135,GO,GO:0006413,biological process,,
RPL11,6135,GO,GO:0006414,biological process,,
RPL11,6135,GO,GO:0006415,biological process,,
RPL11,6135,GO,GO:0006605,biological process,,
RPL11,6135,GO,GO:0006614,biological process,,
RPL11,6135,GO,GO:0010467,biological process,,
RPL11,6135,GO,GO:0016032,biological process,,
