Gene,Entrez,Fold change
CYBRD1,79901,-1.4021655
PRO1082,55460,-1.4012429
LOC100133616,100133616,-1.4000851
CIRBP,1153,-1.3988143
USP47,55031,-1.3978848
FGF2,2247,-1.3954714
ADIRF,10974,-1.3951712
LOC100132790,100132790,-1.3948811
POF1B,79983,-1.3945
WHAMMP3,339005,-1.3931298
WDFY2,115825,-1.3922409
PTPRG,5793,-1.390254
PSD3,23362,-1.3880239
CORO2B,10391,-1.3872351
RUNX1,861,-1.3811224
EPB41L4A,64097,-1.3794115
ERG,2078,-1.3789682
WNT5A,7474,-1.3754212
KIAA0556,23247,-1.368534
SDK2,54549,-1.3662915
GJA1,2697,-1.3625488
CAPN11,11131,-1.3565786
KMT2A,4297,-1.3539128
GNG7,2788,-1.352522
PPM1K,152926,-1.3524508
SLCO3A1,28232,-1.3478849
DYNC2H1,79659,-1.3462037
STAC2,342667,-1.3441899
IGSF21,84966,-1.3429677
AMT,275,-1.3427982
SETD5,55209,-1.3419137
PHYKPL,85007,-1.3401137
ALDH1A3,220,-1.3399251
CHRM5,1133,-1.3393652
KIAA1217,56243,-1.3371304
ZNF781,163115,-1.3354346
POLK,51426,-1.3352063
ACTR8,93973,-1.3347176
FHOD3,80206,-1.3338558
MXI1,4601,-1.3323601
GPR98,84059,-1.3318074
ARHGAP29,9411,-1.3294963
MYH11,4629,-1.3256752
LOC100130264,100130264,-1.3221236
MTERF1,7978,-1.3204698
CACNB4,785,-1.3197385
SETBP1,26040,-1.3184103
HNMT,3176,-1.3135432
FAM214A,56204,-1.3129245
TBRG1,84897,-1.3122783
CEP68,23177,-1.3121256
RALGAPA1,253959,-1.3111648
MST1,4485,-1.3106952
SMA4,11039,-1.3078379
MT1JP,4498,-1.3054668
SARM1,23098,-1.2990791
WHSC1L1///DDHD2,54904,-1.2982561
SAA4,6291,-1.2956478
VSIG2,23584,-1.2896025
EPM2AIP1,9852,-1.2886037
LOC100507487,100507487,-1.2879535
TM4SF18,116441,-1.2866725
TRNP1,388610,-1.2860444
SLC14A1,6563,-1.2836309
HCAR3,8843,-1.2835515
COL14A1,7373,-1.2823623
ARHGAP44,9912,-1.2821955
FGF7,2252,-1.2821437
MAPKBP1,23005,-1.2819311
CH25H,9023,-1.2814094
PDE9A,5152,-1.2786634
CAPS2,84698,-1.2779555
LPAR6,10161,-1.2749114
CAV2,858,-1.2746554
STK32B,55351,-1.2738502
CROCCP3,114819,-1.2737275
CYP4X1,260293,-1.2733451
PTGER3,5733,-1.2703664
ARHGEF37,389337,-1.2673341
MSL1,339287,-1.2659115
IL17RD,54756,-1.2626695
NUDT10,170685,-1.2621679
ARRB1,408,-1.2617393
SLC46A3,283537,-1.2605659
NRIP2,83714,-1.2582123
PEX12,5193,-1.258207
SH3D19,152503,-1.2573265
DLK2,65989,-1.2539387
LZTS1,11178,-1.2532915
AHNAK,79026,-1.2530904
CDH13,1012,-1.252933
CADPS2,93664,-1.2523902
ZNRF2P1,441208,-1.2503928
OR10H1,26539,-1.2492157
C15orf40,123207,-1.2482975
POM121L4P,266697,-1.2480872
SKAP2,8935,-1.2469788
COA5,493753,-1.2459242
CHDH,55349,-1.2457832
MPP7,143098,-1.2429314
MTRF1,9617,-1.2399464
CYP3A7,1551,-1.2376379
ATP6V1B1,525,-1.2350291
ZDHHC2,51201,-1.2347061
LOC100272216,100272216,-1.2318154
KLHDC9,126823,-1.2297238
THSD1,55901,-1.2294005
REEP5,7905,-1.2291461
TTC25,83538,-1.2275994
SLC10A1,6554,-1.2251223
BSN,8927,-1.2228402
NT5DC1,221294,-1.2228286
RHOXF2B,727940,-1.2220722
FOXP1,27086,-1.2204665
TRIM6,117854,-1.2178625
ARHGEF40,55701,-1.2140603
PCGF5,84333,-1.2133494
CACNA2D4,93589,-1.2126252
PLGLB1,5343,-1.2108561
ZNF177,7730,-1.2104019
LHFP,10186,-1.2066166
LAMC2,3918,-1.2063513
ZNF395,55893,-1.2033347
RPAIN,84268,-1.203272
GABBR1,2550,-1.2029494
GUSBP3///SMA4,653188,-1.2026096
ZNF44,51710,-1.2018181
CEP112,201134,-1.1996601
SULT2B1,6820,-1.1996144
ZBTB20,26137,-1.1994889
PTPRZ1,5803,-1.1993641
DMTN,2039,-1.1991365
PLA2R1,22925,-1.1975714
ZNF219,51222,-1.1969785
CFTR,1080,-1.1964567
LBH,81606,-1.1964157
IP6K2,51447,-1.1950282
LOC100506990,100506990,-1.1949872
LOH12CR2,503693,-1.1936037
SERPINA6,866,-1.1902341
HRASLS5,117245,-1.1803781
ABCB9,23457,-1.1787988
RPS6KA5,9252,-1.1782908
SNCA,6622,-1.1782873
FAM219B,57184,-1.1775091
MYNN,55892,-1.1761874
TMEM150C,441027,-1.1729854
MMP19,4327,-1.1723737
CCDC176,80127,-1.1713232
CHRNA2,1135,-1.1707622
CLK4,57396,-1.1684297
TXNIP,10628,-1.1682457
RORA,6095,-1.1670925
DPY19L2,283417,-1.1605076
APBB3,10307,-1.1601529
FBXO36,130888,-1.1575604
SAP18,10284,-1.1574678
RASGRP2,10235,-1.1573245
FAM161B,145483,-1.1566936
KLK3,354,-1.1541141
METTL20,254013,-1.1520919
ST7-AS1,93653,-1.1509756
CC2D2A,57545,-1.149457
PHC1,1911,-1.1486445
STX18-AS1,100507266,-1.1478905
STARD13,90627,-1.147613
FLJ11292,55338,-1.1469878
SSBP2,23635,-1.1469676
FAM126A,84668,-1.1458501
RMDN2,151393,-1.1446988
FKBP1B,2281,-1.1446965
OR51Q1,390061,-1.1439218
LINC01530,729975,-1.1430947
RGS12,6002,-1.1404683
RPP30,10556,-1.1385123
ANO5,203859,-1.133867
ERO1LB,56605,-1.1332515
MAK,4117,-1.1310931
TSPYL2,64061,-1.1294239
C20orf194,25943,-1.127612
GOLGA8A,23015,-1.1272897
CARF,79800,-1.1254244
ZNF540,163255,-1.1244574
GPR75,10936,-1.1206923
NR4A2,4929,-1.1199366
PLAGL1,5325,-1.1187651
ADH4,127,-1.1185268
BDH2,56898,-1.1176438
PRDM6,93166,-1.1172494
TCN1,6947,-1.1149421
PAWR,5074,-1.1136912
LOC283701,283701,-1.1127686
TRH,7200,-1.1120549
