No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1361,PPP1R3C,5507,1,122,0.819672131
1362,PPP1R8,5511,1,63,1.587301587
1363,PPP2R3A,5523,1,122,0.819672131
1364,PPP2R4,5524,1,122,0.819672131
1365,PPP2R5A,5525,1,122,0.819672131
1366,PPP2R5D,5528,1,122,0.819672131
1367,PPP3R2,5535,1,63,1.587301587
1368,PPP4R2,151987,1,63,1.587301587
1369,PPPDE1,51029,3,63,4.761904762
1370,PRAMEF2,65122,1,63,1.587301587
1371,PRCC,5546,1,122,0.819672131
1372,PRDM1,639,1,63,1.587301587
1373,PRDM10,56980,1,63,1.587301587
1374,PRDM16,63976,1,122,0.819672131
1375,PRDM4,11108,1,63,1.587301587
1376,PRDM8,56978,1,63,1.587301587
1377,PRH2,5555,1,63,1.587301587
1378,PRICKLE1,144165,1,63,1.587301587
1379,PRKAG2,51422,1,122,0.819672131
1380,PRKCA,5578,1,122,0.819672131
1381,PRKCE,5581,1,122,0.819672131
1382,PRKCI,5584,1,122,0.819672131
1383,PRKCQ,5588,3,122,2.459016393
1384,PRKCSH,5589,1,63,1.587301587
1385,PRKCZ,5590,1,63,1.587301587
1386,PRKG1,5592,1,63,1.587301587
1387,PRMT2,3275,1,63,1.587301587
1388,PROCA1,147011,1,63,1.587301587
1389,PRPF4B,8899,1,122,0.819672131
1390,PRPF6,24148,1,63,1.587301587
1391,PRR14,78994,1,63,1.587301587
1392,PRRC2A,7916,1,63,1.587301587
1393,PRRT3,285368,1,63,1.587301587
1394,PRSS21,10942,1,63,1.587301587
1395,PRSS27,83886,1,63,1.587301587
1396,PRSS35,167681,1,63,1.587301587
1397,PSIP1,11168,1,122,0.819672131
1398,PSKH1,5681,1,63,1.587301587
1399,PSMA2,5683,1,63,1.587301587
1400,PSMC3,5702,1,63,1.587301587
1401,PSMD7,5713,1,122,0.819672131
1402,PTCH1,5727,1,122,0.819672131
1403,PTCH2,8643,4,122,3.278688525
1404,PTDSS2,81490,1,63,1.587301587
1405,PTEN,5728,11,190,5.789473684
1406,PTGFR,5737,1,122,0.819672131
1407,PTPN23,25930,1,63,1.587301587
1408,PTPN3,5774,1,63,1.587301587
1409,PTPN5,84867,1,63,1.587301587
1410,PTPRC,5788,1,63,1.587301587
1411,PTPRD,5789,2,122,1.639344262
1412,PTPRF,5792,1,63,1.587301587
1413,PTPRJ,5795,3,63,4.761904762
1414,PTPRM,5797,1,63,1.587301587
1415,PTPRN,5798,1,63,1.587301587
1416,PTPRN2,5799,1,63,1.587301587
1417,PTPRU,10076,2,63,3.174603175
1418,PVRL2,5819,1,63,1.587301587
1419,PYGB,5834,1,63,1.587301587
1420,PYHIN1,149628,1,63,1.587301587
1421,Q96NP5_HUMAN,729975,1,63,1.587301587
1422,QRICH2,84074,2,63,3.174603175
1423,QSER1,79832,1,63,1.587301587
1424,R3HDM1,23518,1,63,1.587301587
1425,R3HDM2,22864,1,63,1.587301587
1426,RAB12,201475,1,63,1.587301587
1427,RAB13,5872,1,63,1.587301587
1428,RAB19,401409,1,63,1.587301587
1429,RABEP1,9135,1,63,1.587301587
1430,RABGAP1L,9910,1,63,1.587301587
1431,RABL3,285282,1,63,1.587301587
1432,RAD51AP1,10635,1,63,1.587301587
1433,RAD51C,5889,1,63,1.587301587
1434,RAD54L2,23132,1,63,1.587301587
1435,RAG1,5896,1,63,1.587301587
1436,RAG2,5897,1,63,1.587301587
1437,RAI14,26064,1,63,1.587301587
1438,RALGAPA1,253959,3,63,4.761904762
1439,RANBP2,5903,1,122,0.819672131
1440,RANBP6,26953,1,63,1.587301587
1441,RAPGEF2,9693,1,122,0.819672131
1442,RAPGEF5,9771,1,63,1.587301587
1443,RAPH1,65059,1,122,0.819672131
1444,RARA,5914,1,122,0.819672131
1445,RASA2,5922,1,63,1.587301587
1446,RASAL2,9462,1,63,1.587301587
1447,RASGRP1,10125,1,63,1.587301587
1448,RASGRP2,10235,1,63,1.587301587
1449,RASL11A,387496,1,122,0.819672131
1450,RASSF3,283349,1,63,1.587301587
1451,RASSF6,166824,1,63,1.587301587
1452,RAVER2,55225,1,63,1.587301587
1453,RB1,5925,14,151,9.271523179
1454,RBBP4,5928,1,63,1.587301587
1455,RBBP8,5932,1,63,1.587301587
1456,RBM10,8241,1,122,0.819672131
1457,RBM12,10137,1,63,1.587301587
1458,RBM17,84991,1,63,1.587301587
1459,RBM25,58517,1,63,1.587301587
1460,RBM27,54439,1,63,1.587301587
1461,RBM28,55131,1,63,1.587301587
1462,RBM39,9584,1,63,1.587301587
1463,RBM47,54502,3,63,4.761904762
1464,RBM5,10181,1,63,1.587301587
1465,RBMX2,51634,3,63,4.761904762
1466,RBP2,5948,1,63,1.587301587
1467,RBPJL,11317,1,63,1.587301587
1468,RCAN1,1827,1,63,1.587301587
1469,RCBTB2,1102,1,63,1.587301587
1470,RCC1,1104,1,63,1.587301587
1471,RCN1,5954,1,63,1.587301587
1472,RCSD1,92241,1,63,1.587301587
1473,RDH10,157506,1,63,1.587301587
1474,RECQL4,9401,1,122,0.819672131
1475,RECQL5,9400,1,63,1.587301587
1476,REG3A,5068,1,63,1.587301587
1477,REL,5966,1,122,0.819672131
1478,RELN,5649,1,63,1.587301587
1479,REPS1,85021,1,122,0.819672131
1480,REV1,51455,1,63,1.587301587
1481,RFC5,5985,1,63,1.587301587
1482,RFPL4B,442247,1,63,1.587301587
1483,RFWD3,55159,1,122,0.819672131
1484,RGAG1,57529,1,63,1.587301587
1485,RGL1,23179,1,122,0.819672131
1486,RGL2,5863,1,122,0.819672131
1487,RGS22,26166,1,63,1.587301587
1488,RHEB,6009,2,122,1.639344262
1489,RHOBTB2,23221,1,63,1.587301587
1490,RHOU,58480,1,122,0.819672131
1491,RICTOR,253260,2,122,1.639344262
1492,RIN1,9610,1,122,0.819672131
1493,RIT1,6016,1,122,0.819672131
1494,RNASEL,6041,1,63,1.587301587
1495,RNF130,55819,2,63,3.174603175
1496,RNF135,84282,1,63,1.587301587
1497,RNF138,51444,1,63,1.587301587
1498,RNF149,284996,1,63,1.587301587
1499,RNF180,285671,1,63,1.587301587
1500,RNF19A,25897,1,63,1.587301587
1501,RNF2,6045,1,122,0.819672131
1502,RNF20,56254,1,63,1.587301587
1503,RNF213,57674,1,122,0.819672131
1504,RNF216,54476,1,63,1.587301587
1505,RNF25,64320,1,63,1.587301587
1506,RNF31,55072,1,63,1.587301587
1507,RNF6,6049,1,63,1.587301587
1508,ROBO2,6092,2,63,3.174603175
1509,ROR1,4919,2,122,1.639344262
1510,ROS1,6098,2,122,1.639344262
1511,RP1,6101,2,63,3.174603175
1512,RPAIN,84268,1,63,1.587301587
1513,RPF1,80135,1,63,1.587301587
1514,RPL26L1,51121,1,63,1.587301587
1515,RPN2,6185,1,63,1.587301587
1516,RPP40,10799,1,63,1.587301587
1517,RREB1,6239,1,63,1.587301587
1518,RRM1,6240,1,63,1.587301587
1519,RRM2,6241,1,63,1.587301587
1520,RRNAD1,51093,1,63,1.587301587
1521,RRP9,9136,1,63,1.587301587
1522,RSF1,51773,1,63,1.587301587
1523,RSPH10B,222967,1,63,1.587301587
1524,RUNDC1,146923,1,63,1.587301587
1525,RUNDC3B,154661,1,63,1.587301587
1526,RUNX1T1,862,1,122,0.819672131
1527,RUNX2,860,1,63,1.587301587
1528,RUSC2,9853,1,63,1.587301587
1529,RXRA,6256,1,63,1.587301587
1530,S100A16,140576,1,63,1.587301587
1531,S1PR3,1903,1,122,0.819672131
1532,SAFB,6294,1,63,1.587301587
1533,SAGE1,55511,1,63,1.587301587
1534,SALL3,27164,1,63,1.587301587
1535,SAMD7,344658,1,63,1.587301587
1536,SAMD8,142891,1,63,1.587301587
1537,SAMD9,54809,1,63,1.587301587
1538,SASH1,23328,2,63,3.174603175
1539,SASH3,54440,1,63,1.587301587
1540,SASS6,163786,1,63,1.587301587
1541,SATB1,6304,1,63,1.587301587
1542,SATL1,340562,2,63,3.174603175
1543,SBF2,81846,1,63,1.587301587
1544,SCAF11,9169,2,63,3.174603175
1545,SCAF8,22828,1,63,1.587301587
1546,SCAND3,114821,2,63,3.174603175
1547,SCML2,10389,1,63,1.587301587
1548,SCN10A,6336,1,63,1.587301587
1549,SCN1A,6323,1,63,1.587301587
1550,SCN2A,6326,1,63,1.587301587
1551,SCN3A,6328,1,63,1.587301587
1552,SCN5A,6331,1,63,1.587301587
1553,SCNN1G,6340,1,63,1.587301587
1554,SCUBE1,80274,1,63,1.587301587
1555,SDC1,6382,1,63,1.587301587
1556,SDCBP,6386,1,63,1.587301587
1557,SDCCAG3,10807,1,63,1.587301587
1558,SDCCAG8,10806,1,63,1.587301587
1559,SDK1,221935,1,63,1.587301587
1560,SEC13,6396,1,63,1.587301587
1561,SEC23B,10483,1,63,1.587301587
1562,SEL1L,6400,1,63,1.587301587
1563,SEMA4A,64218,1,63,1.587301587
1564,SEMA5A,9037,2,63,3.174603175
1565,SEMA6B,10501,1,63,1.587301587
1566,SEMA6D,80031,1,63,1.587301587
