No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1169,ATP5I,521,1,726,0.137741047
1170,ATP5J,522,2,717,0.278940028
1171,ATP5J2,9551,3,726,0.41322314
1172,ATP5L,10632,4,726,0.550964187
1173,ATP5L2,267020,3,717,0.418410042
1174,ATP5O,539,4,726,0.550964187
1175,ATP5SL,55101,10,743,1.34589502
1176,ATP6AP1,537,10,743,1.34589502
1177,ATP6AP1L,92270,8,726,1.101928375
1178,ATP6AP2,10159,9,717,1.255230126
1179,ATP6V0A1,535,22,726,3.03030303
1180,ATP6V0A2,23545,8,726,1.101928375
1181,ATP6V0A4,50617,14,726,1.928374656
1182,ATP6V0B,533,3,743,0.403768506
1183,ATP6V0C,527,5,726,0.688705234
1184,ATP6V0D1,9114,6,726,0.826446281
1185,ATP6V0D2,245972,12,726,1.652892562
1186,ATP6V0E1,8992,1,726,0.137741047
1187,ATP6V0E2L,155066,4,726,0.550964187
1188,ATP6V1A,523,6,726,0.826446281
1189,ATP6V1B1,525,25,726,3.443526171
1190,ATP6V1B2,526,6,726,0.826446281
1191,ATP6V1C1,528,11,726,1.515151515
1192,ATP6V1C2,245973,21,717,2.928870293
1193,ATP6V1D,51382,5,726,0.688705234
1194,ATP6V1E1,529,6,743,0.807537012
1195,ATP6V1E2,90423,8,726,1.101928375
1196,ATP6V1F,9296,7,726,0.964187328
1197,ATP6V1G1,9550,2,726,0.275482094
1198,ATP6V1G2,534,1,726,0.137741047
1199,ATP6V1G3,127124,4,717,0.557880056
1200,ATP6V1H,51606,9,717,1.255230126
1201,ATP7A,538,25,717,3.486750349
1202,ATP7B,540,28,726,3.856749311
1203,ATP8A1,10396,22,717,3.068340307
1204,ATP8A2,51761,49,743,6.594885599
1205,ATP8B1,5205,30,743,4.037685061
1206,ATP8B2,57198,37,726,5.096418733
1207,ATP8B3,148229,30,717,4.184100418
1208,ATP8B4,79895,23,743,3.095558546
1209,ATP9A,10079,39,726,5.371900826
1210,ATP9B,374868,29,726,3.994490358
1211,ATPAF1,64756,8,726,1.101928375
1212,ATPAF1-AS1,374973,6,717,0.836820084
1213,ATPAF2,91647,2,726,0.275482094
1214,ATPBD4,89978,2,726,0.275482094
1215,ATPIF1,93974,2,726,0.275482094
1216,ATR,545,35,732,4.781420765
1217,ATRIP,84126,16,717,2.231520223
1218,ATRN,8455,20,743,2.69179004
1219,ATRNL1,26033,27,726,3.719008264
1220,ATRX,546,50,726,6.887052342
1221,ATXN1,6310,30,726,4.132231405
1222,ATXN10,25814,8,726,1.101928375
1223,ATXN1L,342371,14,717,1.952580195
1224,ATXN2,6311,21,743,2.826379542
1225,ATXN2L,11273,37,717,5.160390516
1226,ATXN3,4287,11,726,1.515151515
1227,ATXN3L,92552,14,717,1.952580195
1228,ATXN7,6314,23,726,3.168044077
1229,ATXN7L1,222255,14,717,1.952580195
1230,ATXN7L2,127002,19,726,2.61707989
1231,ATXN7L3,56970,4,717,0.557880056
1232,ATXN7L3B,552889,1,717,0.139470014
1233,AUH,549,6,726,0.826446281
1234,AUP1,550,7,726,0.964187328
1235,AURKA,6790,6,726,0.826446281
1236,AURKAIP1,54998,5,717,0.69735007
1237,AURKB,9212,10,717,1.394700139
1238,AURKC,6795,17,717,2.370990237
1239,AUTS2,26053,38,726,5.23415978
1240,AVEN,57099,11,726,1.515151515
1241,AVIL,10677,18,726,2.479338843
1242,AVL9,23080,11,726,1.515151515
1243,AVP,551,5,726,0.688705234
1244,AVPI1,60370,8,743,1.076716016
1245,AVPR1A,552,26,726,3.581267218
1246,AVPR1B,553,19,743,2.557200538
1247,AVPR2,554,12,743,1.615074024
1248,AWAT1,158833,6,717,0.836820084
1249,AWAT2,158835,8,726,1.101928375
1250,AXDND1,126859,24,726,3.305785124
1251,AXIN1,8312,33,810,4.074074074
1252,AXIN2,8313,49,755,6.490066225
1253,AXL,558,25,726,3.443526171
1254,AZGP1,563,7,726,0.964187328
1255,AZI1,22994,26,743,3.499327052
1256,AZI2,64343,2,726,0.275482094
1257,AZIN1,51582,3,726,0.41322314
1258,AZU1,566,4,726,0.550964187
1259,B2M,567,37,726,5.096418733
