No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
442,NTRK3,4916,1,6,16.66666667
443,NUDT5,11164,1,5,20
444,NUFIP2,57532,1,5,20
445,NUP160,23279,1,5,20
446,NUP205,23165,1,5,20
447,OBSCN,84033,2,5,40
448,ODZ1,10178,2,5,40
449,ODZ4,26011,1,5,20
450,OR10G4,390264,1,5,20
451,OR13C5,138799,2,5,40
452,OR1L4,254973,1,5,20
453,OR2J3,442186,1,5,20
454,OR4C16,219428,1,5,20
455,OR52I2,143502,1,5,20
456,P2RX7,5027,1,5,20
457,PABPC5,140886,1,5,20
458,PAFAH2,5051,1,5,20
459,PANX1,24145,1,5,20
460,PAPD5,64282,1,5,20
461,PAPPA2,60676,2,5,40
462,PARP12,64761,1,5,20
463,PATZ1,23598,1,5,20
464,PAX9,5083,1,35,2.857142857
465,PBRM1,55193,2,80,2.5
466,PCDHA10,56139,1,5,20
467,PCNXL2,80003,1,5,20
468,PDCD7,10081,1,5,20
469,PDE4DIP,9659,1,5,20
470,PDGFRA,5156,1,98,1.020408163
471,PDGFRB,5159,1,35,2.857142857
472,PDIA2,64714,1,5,20
473,PDLIM2,64236,1,5,20
474,PDZD3,79849,1,5,20
475,PGLYRP2,114770,1,5,20
476,PHF20L1,51105,1,5,20
477,PHOSPHO1,162466,1,5,20
478,PI16,221476,1,5,20
479,PIK3C2A,5286,1,6,16.66666667
480,PIK3CA,5290,16,19,84.21052632
481,PIK3CG,5294,1,35,2.857142857
482,PIK3R1,5295,1,6,16.66666667
483,PIN1,5300,1,5,20
484,PKD1L1,168507,1,5,20
485,PLA2G1B,5319,1,5,20
486,PLCE1,51196,1,5,20
487,PLEKHA6,22874,1,5,20
488,PLEKHG5,57449,1,5,20
489,PLS1,5357,1,5,20
490,PLXNA4,91584,1,5,20
491,PLXNB1,5364,1,5,20
492,PNMA3,29944,1,5,20
493,PNPLA7,375775,1,5,20
494,POLR2B,5431,1,5,20
495,POPDC2,64091,1,5,20
496,POR,5447,1,5,20
497,POU6F2,11281,1,5,20
498,PPM1D,8493,1,35,2.857142857
499,PPP1R12B,4660,1,5,20
500,PPTC7,160760,1,5,20
501,PRDM11,56981,1,5,20
502,PRDM5,11107,1,5,20
503,PRDM8,56978,1,5,20
504,PREX2,80243,1,6,16.66666667
505,PRG4,10216,1,35,2.857142857
506,PRR12,57479,1,5,20
507,PSIP1,11168,1,5,20
508,PSMC2,5701,1,5,20
509,PSMD1,5707,1,5,20
510,PTCH1,5727,3,80,3.75
511,PTEN,5728,4,98,4.081632653
512,PTK2B,2185,1,5,20
513,PTPN11,5781,2,98,2.040816327
514,PTPN12,5782,1,5,20
515,PTPRT,11122,1,5,20
516,PUM1,9698,1,5,20
517,PVRL4,81607,1,5,20
518,QARS,5859,1,5,20
519,RALGAPB,57148,1,5,20
520,RANBP6,26953,1,5,20
521,RAP1GAP,5909,1,5,20
522,RAPGEF5,9771,1,5,20
523,RAPH1,65059,1,5,20
524,RASA2,5922,1,5,20
525,RAVER1,125950,1,5,20
526,RB1,5925,2,7,28.57142857
527,RBM6,10180,1,5,20
528,REG4,83998,2,7,28.57142857
529,RET,5979,1,98,1.020408163
530,RFX7,64864,1,5,20
531,RGL4,266747,1,5,20
532,RGS9,8787,1,5,20
533,RHAG,6005,1,5,20
534,RILPL1,353116,1,5,20
535,RND1,27289,1,5,20
536,RNF115,27246,1,5,20
537,RNF32,140545,1,5,20
538,RNF43,54894,1,35,2.857142857
539,RNF6,6049,1,5,20
540,ROBO2,6092,2,7,28.57142857
541,ROS1,6098,2,7,28.57142857
542,RPGR,6103,1,5,20
543,RPH3A,22895,1,5,20
544,RPS25,6230,1,5,20
545,RPS6KB2,6199,1,5,20
546,RPTOR,57521,3,35,8.571428571
547,RTKN,6242,1,5,20
548,RUNX1,861,1,80,1.25
549,RYR1,6261,1,5,20
550,RYR2,6262,1,5,20
551,S100A13,6284,1,5,20
552,SAMD13,148418,1,5,20
553,SC4MOL,6307,1,5,20
554,SCML1,6322,1,5,20
555,SCN3A,6328,1,5,20
556,SCRIB,23513,1,5,20
557,SDCCAG8,10806,1,5,20
558,SEC16A,9919,1,5,20
559,SEMA3E,9723,1,5,20
560,SEMA5B,54437,1,5,20
561,SENP3,26168,1,5,20
562,SETD2,29072,2,7,28.57142857
563,SF1,7536,1,5,20
564,SF3B1,23451,1,35,2.857142857
565,SFSWAP,6433,1,5,20
566,SHANK1,50944,1,5,20
567,SHC1,6464,1,6,16.66666667
568,SHISA6,388336,1,5,20
569,SHPRH,257218,1,5,20
570,SHROOM3,57619,1,5,20
571,SHROOM4,57477,1,5,20
572,SI,6476,1,5,20
573,SIN3A,25942,2,5,40
574,SKI,6497,1,5,20
575,SKP2,6502,2,7,28.57142857
576,SLC10A1,6554,1,5,20
577,SLC10A3,8273,1,5,20
578,SLC15A3,51296,1,5,20
579,SLC18A3,6572,1,5,20
580,SLC1A6,6511,1,5,20
581,SLC22A2,6582,1,5,20
582,SLC27A4,10999,1,5,20
583,SLC35B1,10237,1,5,20
584,SLC35D1,23169,1,5,20
585,SLC38A10,124565,1,5,20
586,SLC9A5,6553,1,5,20
587,SLCO2A1,6578,1,5,20
588,SLIT2,9353,1,35,2.857142857
589,SLIT3,6586,1,5,20
590,SMAD4,4089,7,98,7.142857143
591,SMARCA4,6597,1,85,1.176470588
592,SMARCC1,6599,1,5,20
593,SMG1,23049,1,5,20
594,SMO,6608,1,98,1.020408163
595,SMOX,54498,1,5,20
596,SNX27,81609,1,5,20
597,SPANXN3,139067,1,5,20
598,SPEG,10290,1,5,20
599,SPEN,23013,2,17,11.76470588
600,SPICE1,152185,1,5,20
601,SPINT4,391253,1,5,20
602,SPTAN1,6709,1,5,20
603,SRR,63826,1,5,20
604,ST8SIA4,7903,1,5,20
605,STAT3,6774,2,35,5.714285714
606,STAU2,27067,1,5,20
607,STXBP5,134957,1,5,20
608,SYNPO2,171024,1,5,20
609,TAOK1,57551,1,5,20
610,TBC1D7,51256,1,5,20
611,TBC1D9B,23061,1,5,20
612,TERT,7015,2,80,2.5
613,TET2,54790,1,6,16.66666667
614,TET3,200424,1,5,20
615,THBS2,7058,1,5,20
616,TM6SF2,53345,1,5,20
617,TMEM106B,54664,1,5,20
618,TMEM129,92305,1,5,20
619,TMEM151A,256472,1,5,20
