No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
620,TMEM214,54867,1,5,20
621,TMOD3,29766,1,5,20
622,TMPRSS11F,389208,1,5,20
623,TNC,3371,1,5,20
624,TOP1,7150,1,35,2.857142857
625,TP53,7157,9,13,69.23076923
626,TRAPPC4,51399,1,5,20
627,TRDN,10345,1,5,20
628,TRIM26,7726,1,5,20
629,TRIM41,90933,1,5,20
630,TRIO,7204,1,5,20
631,TRMT12,55039,1,5,20
632,TSHR,7253,3,80,3.75
633,TTC17,55761,1,5,20
634,TTC30A,92104,1,5,20
635,TTF1,7270,1,5,20
636,TTLL7,79739,1,5,20
637,TTN,7273,1,5,20
638,TUBA1B,10376,1,5,20
639,TYRP1,7306,1,5,20
640,UBA1,7317,1,5,20
641,UBE2A,7319,1,5,20
642,UGGT1,56886,1,5,20
643,UGT8,7368,1,5,20
644,UHRF2,115426,1,5,20
645,UNC13D,201294,1,5,20
646,UNKL,64718,1,5,20
647,UPF3A,65110,1,5,20
648,USP22,23326,1,5,20
649,USP34,9736,1,5,20
650,USP36,57602,1,5,20
651,USP37,57695,1,5,20
652,USP48,84196,1,5,20
653,USP5,8078,1,5,20
654,VCPIP1,80124,1,5,20
655,VHL,7428,1,98,1.020408163
656,VPS13C,54832,1,5,20
657,VPS16,64601,1,5,20
658,WDR1,9948,1,5,20
659,XDH,7498,1,5,20
660,YAP1,10413,1,6,16.66666667
661,YLPM1,56252,1,5,20
662,YV009_HUMAN,388900 ,1,5,20
663,ZBTB1,22890,1,5,20
664,ZBTB42,100128927,1,5,20
665,ZCCHC14,23174,1,5,20
666,ZCCHC2,54877,1,5,20
667,ZCCHC6,79670,1,5,20
668,ZFAND6,54469,1,5,20
669,ZFHX4,79776,1,5,20
670,ZFP36L2,678,1,5,20
671,ZFP91,80829,1,5,20
672,ZFP91-CNTF,386607,1,5,20
673,ZKSCAN1,7586,1,5,20
674,ZNF213,7760,1,5,20
675,ZNF217,7764,1,6,16.66666667
676,ZNF296,162979,1,5,20
677,ZNF469,84627,1,5,20
678,ZNF546,339327,1,5,20
679,ZNF564,163050,1,5,20
680,ZNF646,9726,1,5,20
681,ZNF747,65988,1,5,20
682,ZNF770,54989,1,5,20
683,ZNF791,163049,1,5,20
684,ZNF831,128611,1,5,20
685,ZNF837,116412,1,5,20
686,ZNHIT2,741,1,5,20
687,ZPLD1,131368,1,5,20
688,ZRSR2,8233,1,6,16.66666667
689,ZSWIM4,65249,1,5,20
